,年,順位,球団,勝,防御率,打率,本塁打,盗塁,得点,失点,犠打,犠打率,QS率,得点圏,UC打率,代打率,失策,打点,安打数,単打,2塁打,3塁打,出塁率,長打率,OPS,得点圏打数,得点圏安打,得点圏打率,UC打数,UC安打,UC率,UC本塁打,試合数,打席数,打数,四球,死球,企盗塁,盗塁成功率,企犠打,犠打成功率,犠飛,代打数,代打安打,併殺,三振,先発防御率,救援防御率,S,奪三振,投球回,奪三振率,投球数,打者数,被安打,被本塁打,与四球,与死球,敬遠,自責点,完投,完封,無四球,被打率,援護点,援護率,WHIP,UC被安打,UC被打率,UC被本塁打,平均動員数
2021_1,2021,1,ヤクルト,73,3.48,0.254,142,70,625,531,90,77.59,43.36,0.26,0.264,0.255,77,603,1196,823,214,17,0.333,0.397,0.731,1202,313,0.26,1994,526,0.264,57,143,5399,4708,535,61,100,0.7,116,0.776,27,274,70,105,1079,3.63,3.25,44,1129,1260 1/3,8.06,20640,5287,1216,144,338,50,25,487,3,1,3,0.249,424,4.76,1.23,596,0.252,69,9379
2021_2,2021,2,阪神,77,3.29,0.247,121,114,541,508,82,82.0,55.94,0.249,0.251,0.195,87,517,1164,812,208,23,0.311,0.379,0.689,1159,289,0.249,1994,501,0.251,57,143,5265,4704,428,40,144,0.792,100,0.82,33,220,43,95,1082,3.04,3.8,43,986,1257,7.06,20234,5244,1136,115,352,31,36,460,6,2,3,0.235,394,3.9,1.18,502,0.234,41,10555
2021_3,2021,3,巨人,61,3.67,0.242,169,65,552,541,48,76.19,44.76,0.236,0.245,0.19,45,532,1137,750,207,11,0.31,0.399,0.709,1036,245,0.236,2173,532,0.245,73,143,5241,4692,453,43,102,0.637,63,0.762,27,300,57,98,1157,3.79,3.49,33,1079,1252 2/3,7.75,20983,5295,1132,139,444,56,20,511,4,2,0,0.237,350,3.88,1.26,494,0.239,59,11286
2021_4,2021,4,広島,63,3.82,0.264,123,68,557,589,85,77.98,58.04,0.262,0.261,0.235,80,532,1265,925,200,17,0.324,0.389,0.713,1178,309,0.262,2184,570,0.261,54,143,5361,4798,426,42,105,0.648,109,0.78,34,289,68,94,1015,3.99,3.5,37,1034,1253 2/3,7.42,21539,5422,1224,124,464,45,19,532,5,3,1,0.25,388,3.98,1.35,552,0.255,53,13560
2021_5,2021,5,中日,55,3.22,0.237,69,60,405,478,98,87.5,52.45,0.221,0.235,0.214,55,381,1090,818,182,21,0.291,0.331,0.622,1044,231,0.221,2186,514,0.235,31,143,5073,4595,352,31,96,0.625,112,0.875,23,224,48,104,973,3.37,2.92,36,1005,1243,7.28,20679,5163,1145,98,359,38,17,445,4,2,2,0.241,294,2.98,1.21,534,0.244,57,8363
2021_6,2021,6,DeNA,54,4.16,0.258,136,31,559,624,81,85.26,40.56,0.265,0.245,0.206,72,546,1233,830,254,13,0.32,0.402,0.722,1171,310,0.265,2105,515,0.245,53,143,5340,4784,425,43,55,0.564,95,0.853,24,326,67,107,1028,4.34,3.89,27,1057,1248 1/3,7.62,21264,5347,1237,124,442,51,19,577,3,2,1,0.256,360,4.09,1.34,543,0.273,47,10223
2022_1,2022,1,ヤクルト,80,3.54,0.25,174,69,619,566,86,79.63,44.76,0.253,0.249,0.181,69,606,1209,805,210,20,0.318,0.41,0.728,1140,288,0.253,2077,517,0.249,76,143,5446,4834,476,55,103,0.67,108,0.796,29,249,45,102,1118,3.84,3.08,40,979,1294 2/3,6.81,20837,5460,1265,141,360,59,30,509,4,3,2,0.252,369,3.98,1.26,530,0.25,60,22741
2022_2,2022,2,DeNA,73,3.48,0.251,117,49,497,534,102,81.6,44.76,0.242,0.252,0.193,64,477,1190,833,228,12,0.308,0.378,0.686,1057,256,0.242,2305,581,0.252,63,143,5275,4746,381,54,88,0.557,125,0.816,22,305,59,109,932,3.58,3.31,42,1045,1274,7.38,20967,5359,1171,123,382,58,26,492,4,3,2,0.239,333,3.58,1.22,536,0.235,53,24708
2022_3,2022,3,阪神,68,2.67,0.243,84,110,489,428,119,82.64,56.64,0.241,0.244,0.24,86,462,1160,903,152,21,0.301,0.337,0.638,1100,265,0.241,2285,558,0.244,30,143,5323,4767,379,47,145,0.759,144,0.826,32,233,56,90,1020,2.81,2.39,32,1047,1281,7.36,19923,5201,1126,83,256,40,32,380,15,7,5,0.231,361,3.59,1.08,555,0.236,45,36370
2022_4,2022,4,巨人,68,3.7,0.242,163,64,548,589,73,77.66,48.95,0.244,0.238,0.208,82,533,1161,785,199,14,0.309,0.392,0.701,1050,256,0.244,2278,542,0.238,73,143,5341,4788,454,36,95,0.674,94,0.777,15,264,55,89,1062,3.64,3.8,40,975,1274,6.89,21188,5417,1220,123,401,65,13,524,4,2,2,0.247,369,4.0,1.27,560,0.258,55,32199
2022_5,2022,5,広島,66,3.54,0.257,91,26,552,544,118,81.94,51.05,0.288,0.256,0.23,73,524,1248,932,200,25,0.309,0.364,0.673,1141,329,0.288,2319,593,0.256,50,143,5394,4865,347,53,53,0.491,144,0.819,31,265,61,112,980,3.66,3.32,32,1024,1280 1/3,7.2,21278,5455,1259,127,381,53,26,504,7,5,3,0.252,405,4.12,1.28,590,0.258,58,27732
2022_6,2022,6,中日,66,3.28,0.247,62,66,414,495,123,86.01,49.65,0.237,0.235,0.188,65,397,1172,875,208,27,0.301,0.341,0.642,1102,261,0.237,2339,550,0.235,24,143,5284,4750,344,57,87,0.759,143,0.86,30,240,45,92,956,3.46,2.93,42,1050,1272,7.43,20916,5263,1114,92,367,50,26,463,7,3,4,0.231,280,2.83,1.16,515,0.229,45,25459
2023_1,2023,1,阪神,85,2.66,0.247,84,79,555,424,106,84.13,59.44,0.27,0.256,0.179,84,534,1180,883,179,34,0.322,0.352,0.674,1236,334,0.27,2241,573,0.256,39,143,5479,4775,529,57,108,0.731,126,0.841,47,234,42,92,1173,2.79,2.39,45,1009,1288,7.05,20077,5215,1105,88,299,42,16,381,10,6,5,0.227,399,3.89,1.09,560,0.229,38,41064
2023_2,2023,2,広島,74,3.2,0.246,96,78,493,508,96,88.89,51.75,0.256,0.257,0.257,82,476,1165,854,197,18,0.304,0.357,0.66,1055,270,0.256,2277,586,0.257,45,143,5241,4728,374,48,128,0.609,108,0.889,20,272,70,115,1032,3.24,3.14,46,975,1275,6.88,20600,5357,1187,109,374,42,27,454,9,7,2,0.242,325,3.25,1.22,586,0.245,50,28538
2023_3,2023,3,DeNA,74,3.16,0.247,105,33,520,496,106,74.65,54.55,0.275,0.242,0.229,69,503,1182,829,230,18,0.305,0.369,0.673,1077,296,0.275,2326,562,0.242,48,143,5331,4783,377,56,59,0.559,142,0.746,31,293,67,103,846,3.14,3.19,42,1158,1289 1/3,8.08,20726,5361,1206,118,333,43,26,452,10,3,4,0.243,361,3.57,1.19,580,0.243,56,32126
2023_4,2023,4,巨人,71,3.4,0.252,164,48,523,507,93,83.04,55.24,0.242,0.24,0.21,54,511,1218,836,204,14,0.308,0.402,0.71,1035,250,0.242,2404,578,0.24,65,143,5352,4826,403,37,77,0.623,112,0.83,31,310,65,94,1111,3.16,3.83,31,1075,1276 1/3,7.58,21070,5295,1117,129,386,62,17,482,8,3,3,0.231,322,3.35,1.18,539,0.228,54,38145
2023_5,2023,5,ヤクルト,57,3.66,0.239,123,62,534,567,115,83.94,45.45,0.23,0.23,0.203,68,509,1128,782,212,11,0.31,0.367,0.677,1111,255,0.23,2290,526,0.23,55,143,5358,4712,470,50,82,0.756,137,0.839,34,261,53,112,1096,3.95,3.21,33,953,1267 2/3,6.77,20636,5336,1215,143,342,63,40,516,3,3,1,0.248,366,3.96,1.23,570,0.255,67,27447
2023_6,2023,6,中日,56,3.08,0.234,71,36,390,498,92,81.42,55.24,0.229,0.233,0.173,78,370,1123,847,186,19,0.285,0.326,0.61,1011,232,0.229,2463,573,0.233,29,143,5251,4792,324,39,61,0.59,113,0.814,22,254,44,97,1029,3.12,3.02,37,1062,1287 1/3,7.42,21073,5385,1127,76,428,50,18,441,4,2,2,0.231,263,2.69,1.21,526,0.24,34,30333
